score,source,target
30.30,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
30.30,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//Waitangi day Atawhai opening.doc
30.75,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
31.21,/workshop-files//Suter Art Gallery .doc,/workshop-files//NZ Music Month quiz answers 2006.doc
31.66,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//key reaction.doc
31.89,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
32.57,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
33.49,/workshop-files//Suter Art Gallery .doc,/workshop-files//080507 - new prison welcomed.doc
33.49,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//080507 - new prison welcomed.doc
33.71,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
33.94,/workshop-files//Suter Art Gallery .doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
34.17,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
34.40,/workshop-files//Backup of Ruataniwha speech 2.wbk,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
34.40,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
35.08,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Grey Power Manawatu 15 July.doc
35.08,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//080507 - new prison welcomed.doc
35.54,/workshop-files//mccarthyism.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
36.22,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//supreme court.doc
37.13,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//mccarthyism.doc
37.36,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//air nz future.doc
37.59,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//080507 - new prison welcomed.doc
37.81,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
37.81,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc",/workshop-files//Waitangi day Atawhai opening.doc
38.50,/workshop-files//key reaction.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
38.72,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Suter Art Gallery .doc
