score,source,target
492,/workshop-files//Bike regs.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
463,/workshop-files//Bike regs.doc,/workshop-files//dhb changes.doc
468,/workshop-files//Bike regs.doc,/workshop-files//dhb changes draft.doc
474,/workshop-files//Bike regs.doc,/workshop-files//election date.doc
622,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Suter Art Gallery .doc
672,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
397,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//belgrave.doc
510,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
186,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
509,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Grey Power Manawatu 15 July.doc
93,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//aircare 24nov2005.doc
99,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//te papa 05.doc
650,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
137,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
204,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//air nz future.doc
568,/workshop-files//NZ music a hit in New Yorkl.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
397,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//stalactites.doc
495,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//key reaction.doc
598,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
107,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//New NZSO CEO 8May02.doc
149,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Sargent gallery.doc
626,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Waitangi day Atawhai opening.doc
474,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//mccarthyism.doc
128,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Sarjeant gallery.doc
99,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//NZSafetyAwards15Aug.doc
198,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//supreme court.doc
559,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//080507 - new prison welcomed.doc
398,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//kiwisaver amendment.doc
148,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Geographical Indications 04.DOC
390,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//taiwan national day.doc
492,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
417,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//dhb changes.doc
395,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//dhb changes draft.doc
409,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//election date.doc
85,/workshop-files//Suter Art Gallery .doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
396,/workshop-files//Suter Art Gallery .doc,/workshop-files//belgrave.doc
339,/workshop-files//Suter Art Gallery .doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
554,/workshop-files//Suter Art Gallery .doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
270,/workshop-files//Suter Art Gallery .doc,/workshop-files//Grey Power Manawatu 15 July.doc
627,/workshop-files//Suter Art Gallery .doc,/workshop-files//aircare 24nov2005.doc
628,/workshop-files//Suter Art Gallery .doc,/workshop-files//te papa 05.doc
35,/workshop-files//Suter Art Gallery .doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
648,/workshop-files//Suter Art Gallery .doc,/workshop-files//Auckland roading projects start 21Nov03.doc
688,/workshop-files//Suter Art Gallery .doc,/workshop-files//air nz future.doc
301,/workshop-files//Suter Art Gallery .doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
405,/workshop-files//Suter Art Gallery .doc,/workshop-files//stalactites.doc
464,/workshop-files//Suter Art Gallery .doc,/workshop-files//key reaction.doc
50,/workshop-files//Suter Art Gallery .doc,/workshop-files//Arts Pasifika Awards 2007 .doc
666,/workshop-files//Suter Art Gallery .doc,/workshop-files//New NZSO CEO 8May02.doc
650,/workshop-files//Suter Art Gallery .doc,/workshop-files//Sargent gallery.doc
44,/workshop-files//Suter Art Gallery .doc,/workshop-files//Waitangi day Atawhai opening.doc
470,/workshop-files//Suter Art Gallery .doc,/workshop-files//mccarthyism.doc
650,/workshop-files//Suter Art Gallery .doc,/workshop-files//Sarjeant gallery.doc
635,/workshop-files//Suter Art Gallery .doc,/workshop-files//NZSafetyAwards15Aug.doc
669,/workshop-files//Suter Art Gallery .doc,/workshop-files//supreme court.doc
303,/workshop-files//Suter Art Gallery .doc,/workshop-files//080507 - new prison welcomed.doc
406,/workshop-files//Suter Art Gallery .doc,/workshop-files//kiwisaver amendment.doc
